108,9609,8049,7256,5307,4197,3548,2385,2295,2299,2602,
109,10329,7100,7918,5378,3700,3095,2338,2434,2249,2515,
110,10687,6331,6996,5350,3420,3135,2236,2079,2293,2658,
111,10576,6710,6635,5068,3081,3500,2631,2131,2179,2264,
112,10354,6618,6666,5494,3182,3502,2382,2181,2402,2261,
113,10251,6273,6554,5220,3499,3302,2200,1992,2550,1979,
114,10483,6726,6298,4572,3099,2750,2264,1760,2537,1770,
115,11617,6557,6154,4608,2957,2540,2195,1704,2434,2004,
116,11713,6682,5930,4565,2934,2611,2193,1864,2502,2302,
117,11501,6760,5935,4677,2985,2553,2158,1754,2242,2411,
118,11403,6154,6112,4638,2833,2550,1927,1811,2078,2335,
119,11250,6497,5304,4594,3119,2565,2041,1955,2108,2199,
120,11856,6716,5442,4092,3663,2135,2245,2141,2025,1883,
121,11935,7178,5678,3831,3520,2256,2463,2243,1804,1785,
122,11045,6568,5563,3770,3464,2489,1962,2333,1859,1772,
123,10249,7201,6162,4084,3207,2440,1991,2323,1928,1732,
124,8976,7105,6262,4629,3272,2506,2376,2517,2118,1791,
