Measured unit,Wavelength (m)
201.6958394,201.6958394e-9
201.7026905,201.7026905e-9
201.7095411,201.7095411e-9
201.7163914,201.7163914e-9
201.7232413,201.7232413e-9
201.7300909,201.7300909e-9
201.73694,201.73694e-9
201.7437888,201.7437888e-9
201.7506373,201.7506373e-9
201.7574853,201.7574853e-9
201.764333,201.764333e-9
201.7711803,201.7711803e-9
201.7780273,201.7780273e-9
201.7848738,201.7848738e-9
201.79172,201.79172e-9
201.7985659,201.7985659e-9
201.8054113,201.8054113e-9
201.8122564,201.8122564e-9
201.8191011,201.8191011e-9
201.8259454,201.8259454e-9
201.8327894,201.8327894e-9
201.839633,201.839633e-9
201.8464762,201.8464762e-9
201.8533191,201.8533191e-9
201.8601616,201.8601616e-9
201.8670037,201.8670037e-9
201.8738454,201.8738454e-9
201.8806868,201.8806868e-9
201.8875278,201.8875278e-9
201.8943684,201.8943684e-9
201.9012086,201.9012086e-9
201.9080485,201.9080485e-9
201.914888,201.914888e-9
201.9217271,201.9217271e-9
201.9285659,201.9285659e-9
201.9354043,201.9354043e-9
201.9422423,201.9422423e-9
201.94908,201.94908e-9
201.9559172,201.9559172e-9
201.9627541,201.9627541e-9
201.9695907,201.9695907e-9
201.9764268,201.9764268e-9
201.9832626,201.9832626e-9
201.990098,201.990098e-9
201.9969331,201.9969331e-9
202.0037677,202.0037677e-9
202.010602,202.010602e-9
202.017436,202.017436e-9
202.0242695,202.0242695e-9
202.0311027,202.0311027e-9
202.0379355,202.0379355e-9
202.044768,202.044768e-9
202.0516,202.0516e-9
202.0584317,202.0584317e-9
202.065263,202.065263e-9
202.072094,202.072094e-9
202.0789246,202.0789246e-9
202.0857548,202.0857548e-9
202.0925846,202.0925846e-9
202.0994141,202.0994141e-9
202.1062432,202.1062432e-9
202.1130719,202.1130719e-9
202.1199003,202.1199003e-9
202.1267282,202.1267282e-9
202.1335558,202.1335558e-9
202.1403831,202.1403831e-9
202.1472099,202.1472099e-9
202.1540364,202.1540364e-9
202.1608626,202.1608626e-9
202.1676883,202.1676883e-9
202.1745137,202.1745137e-9
202.1813387,202.1813387e-9
202.1881633,202.1881633e-9
202.1949876,202.1949876e-9
202.2018115,202.2018115e-9
202.208635,202.208635e-9
202.2154581,202.2154581e-9
202.2222809,202.2222809e-9
202.2291033,202.2291033e-9
202.2359253,202.2359253e-9
202.242747,202.242747e-9
202.2495683,202.2495683e-9
202.2563892,202.2563892e-9
202.2632097,202.2632097e-9
202.2700299,202.2700299e-9
202.2768497,202.2768497e-9
202.2836691,202.2836691e-9
202.2904882,202.2904882e-9
202.2973069,202.2973069e-9
202.3041252,202.3041252e-9
202.3109431,202.3109431e-9
202.3177607,202.3177607e-9
202.3245779,202.3245779e-9
202.3313947,202.3313947e-9
202.3382112,202.3382112e-9
202.3450272,202.3450272e-9
202.3518429,202.3518429e-9
202.3586583,202.3586583e-9
202.3654732,202.3654732e-9
202.3722878,202.3722878e-9
202.3791021,202.3791021e-9
202.3859159,202.3859159e-9
202.3927294,202.3927294e-9
202.3995425,202.3995425e-9
202.4063552,202.4063552e-9
202.4131676,202.4131676e-9
202.4199796,202.4199796e-9
202.4267912,202.4267912e-9
202.4336024,202.4336024e-9
202.4404133,202.4404133e-9
202.4472238,202.4472238e-9
202.454034,202.454034e-9
202.4608437,202.4608437e-9
202.4676531,202.4676531e-9
202.4744621,202.4744621e-9
202.4812708,202.4812708e-9
202.488079,202.488079e-9
202.4948869,202.4948869e-9
202.5016945,202.5016945e-9
202.5085016,202.5085016e-9
202.5153084,202.5153084e-9
202.5221148,202.5221148e-9
202.5289209,202.5289209e-9
202.5357265,202.5357265e-9
202.5425318,202.5425318e-9
202.5493368,202.5493368e-9
202.5561413,202.5561413e-9
202.5629455,202.5629455e-9
202.5697493,202.5697493e-9
202.5765527,202.5765527e-9
202.5833558,202.5833558e-9
202.5901585,202.5901585e-9
202.5969608,202.5969608e-9
202.6037628,202.6037628e-9
202.6105644,202.6105644e-9
202.6173656,202.6173656e-9
202.6241664,202.6241664e-9
202.6309669,202.6309669e-9
202.637767,202.637767e-9
202.6445667,202.6445667e-9
202.651366,202.651366e-9
202.658165,202.658165e-9
202.6649636,202.6649636e-9
202.6717619,202.6717619e-9
202.6785597,202.6785597e-9
202.6853572,202.6853572e-9
202.6921543,202.6921543e-9
202.6989511,202.6989511e-9
202.7057474,202.7057474e-9
202.7125434,202.7125434e-9
202.7193391,202.7193391e-9
202.7261343,202.7261343e-9
202.7329292,202.7329292e-9
202.7397237,202.7397237e-9
202.7465179,202.7465179e-9
202.7533117,202.7533117e-9
202.7601051,202.7601051e-9
202.7668981,202.7668981e-9
202.7736907,202.7736907e-9
202.780483,202.780483e-9
202.7872749,202.7872749e-9
202.7940665,202.7940665e-9
202.8008576,202.8008576e-9
202.8076484,202.8076484e-9
202.8144389,202.8144389e-9
202.8212289,202.8212289e-9
202.8280186,202.8280186e-9
202.8348079,202.8348079e-9
202.8415969,202.8415969e-9
202.8483854,202.8483854e-9
202.8551736,202.8551736e-9
202.8619614,202.8619614e-9
202.8687489,202.8687489e-9
202.875536,202.875536e-9
202.8823227,202.8823227e-9
202.889109,202.889109e-9
202.895895,202.895895e-9
202.9026806,202.9026806e-9
202.9094658,202.9094658e-9
202.9162506,202.9162506e-9
202.9230351,202.9230351e-9
202.9298192,202.9298192e-9
202.936603,202.936603e-9
202.9433863,202.9433863e-9
202.9501693,202.9501693e-9
202.9569519,202.9569519e-9
202.9637342,202.9637342e-9
202.970516,202.970516e-9
202.9772975,202.9772975e-9
202.9840787,202.9840787e-9
202.9908594,202.9908594e-9
202.9976398,202.9976398e-9
203.0044198,203.0044198e-9
203.0111995,203.0111995e-9
203.0179787,203.0179787e-9
203.0247576,203.0247576e-9
203.0315362,203.0315362e-9
203.0383143,203.0383143e-9
203.0450921,203.0450921e-9
203.0518695,203.0518695e-9
203.0586466,203.0586466e-9
203.0654232,203.0654232e-9
203.0721995,203.0721995e-9
