Measured unit,Wavelength (m),Sensitivity,Additional multiplier,Additional additive
201.163688,2.01164E-07,0,1,0
201.170568,2.01171E-07,0,1,0
201.177448,2.01177E-07,0,1,0
201.184328,2.01184E-07,0,1,0
201.191207,2.01191E-07,0,1,0
201.198086,2.01198E-07,0,1,0
201.204965,2.01205E-07,0,1,0
201.211843,2.01212E-07,0,1,0
201.218721,2.01219E-07,0,1,0
201.225598,2.01226E-07,0,1,0
201.232475,2.01232E-07,0,1,0
201.239352,2.01239E-07,0,1,0
201.246228,2.01246E-07,0,1,0
201.253104,2.01253E-07,0,1,0
201.25998,2.0126E-07,0,1,0
201.266855,2.01267E-07,0,1,0
201.27373,2.01274E-07,0,1,0
201.280604,2.01281E-07,0,1,0
201.287479,2.01287E-07,0,1,0
201.294352,2.01294E-07,0,1,0
201.301226,2.01301E-07,0,1,0
201.308099,2.01308E-07,0,1,0
201.314971,2.01315E-07,0,1,0
201.321844,2.01322E-07,0,1,0
201.328716,2.01329E-07,0,1,0
201.335587,2.01336E-07,0,1,0
201.342458,2.01342E-07,0,1,0
201.349329,2.01349E-07,0,1,0
201.356199,2.01356E-07,0,1,0
201.363069,2.01363E-07,0,1,0
201.369939,2.0137E-07,0,1,0
201.376808,2.01377E-07,0,1,0
201.383677,2.01384E-07,0,1,0
201.390546,2.01391E-07,0,1,0
201.397414,2.01397E-07,0,1,0
201.404282,2.01404E-07,0,1,0
201.411149,2.01411E-07,0,1,0
201.418016,2.01418E-07,0,1,0
201.424883,2.01425E-07,0,1,0
201.431749,2.01432E-07,0,1,0
201.438615,2.01439E-07,0,1,0
201.445481,2.01445E-07,0,1,0
201.452346,2.01452E-07,0,1,0
201.459211,2.01459E-07,0,1,0
201.466075,2.01466E-07,0,1,0
201.47294,2.01473E-07,0,1,0
201.479803,2.0148E-07,0,1,0
201.486667,2.01487E-07,0,1,0
201.49353,2.01494E-07,0,1,0
201.500392,2.015E-07,0,1,0
201.507254,2.01507E-07,0,1,0
201.514116,2.01514E-07,0,1,0
201.520978,2.01521E-07,0,1,0
201.527839,2.01528E-07,0,1,0
201.5347,2.01535E-07,0,1,0
201.54156,2.01542E-07,0,1,0
201.54842,2.01548E-07,0,1,0
201.55528,2.01555E-07,0,1,0
201.562139,2.01562E-07,0,1,0
201.568998,2.01569E-07,0,1,0
201.575856,2.01576E-07,0,1,0
201.582715,2.01583E-07,0,1,0
201.589572,2.0159E-07,0,1,0
201.59643,2.01596E-07,0,1,0
201.603287,2.01603E-07,0,1,0
201.610143,2.0161E-07,0,1,0
201.617,2.01617E-07,0,1,0
201.623856,2.01624E-07,0,1,0
201.630711,2.01631E-07,0,1,0
201.637566,2.01638E-07,0,1,0
201.644421,2.01644E-07,0,1,0
201.651276,2.01651E-07,0,1,0
201.65813,2.01658E-07,0,1,0
201.664983,2.01665E-07,0,1,0
201.671837,2.01672E-07,0,1,0
201.67869,2.01679E-07,0,1,0
201.685542,2.01686E-07,0,1,0
201.692394,2.01692E-07,0,1,0
201.699246,2.01699E-07,0,1,0
201.706098,2.01706E-07,0,1,0
201.712949,2.01713E-07,0,1,0
201.719799,2.0172E-07,0,1,0
201.72665,2.01727E-07,0,1,0
201.7335,2.01734E-07,0,1,0
201.740349,2.0174E-07,0,1,0
201.747199,2.01747E-07,0,1,0
201.754047,2.01754E-07,0,1,0
201.760896,2.01761E-07,0,1,0
201.767744,2.01768E-07,0,1,0
201.774592,2.01775E-07,0,1,0
201.781439,2.01781E-07,0,1,0
201.788286,2.01788E-07,0,1,0
201.795133,2.01795E-07,0,1,0
201.801979,2.01802E-07,0,1,0
201.808825,2.01809E-07,0,1,0
201.81567,2.01816E-07,0,1,0
201.822515,2.01823E-07,0,1,0
201.82936,2.01829E-07,0,1,0
201.836205,2.01836E-07,0,1,0
201.843049,2.01843E-07,0,1,0
201.849892,2.0185E-07,0,1,0
201.856735,2.01857E-07,0,1,0
201.863578,2.01864E-07,0,1,0
201.870421,2.0187E-07,0,1,0
201.877263,2.01877E-07,0,1,0
201.884105,2.01884E-07,0,1,0
201.890946,2.01891E-07,0,1,0
201.897787,2.01898E-07,0,1,0
201.904628,2.01905E-07,0,1,0
201.911468,2.01911E-07,0,1,0
201.918308,2.01918E-07,0,1,0
201.925147,2.01925E-07,0,1,0
201.931987,2.01932E-07,0,1,0
201.938825,2.01939E-07,0,1,0
201.945664,2.01946E-07,0,1,0
201.952502,2.01953E-07,0,1,0
201.959339,2.01959E-07,0,1,0
201.966177,2.01966E-07,0,1,0
201.973014,2.01973E-07,0,1,0
201.97985,2.0198E-07,0,1,0
201.986686,2.01987E-07,0,1,0
201.993522,2.01994E-07,0,1,0
202.000358,2.02E-07,0,1,0
202.007193,2.02007E-07,0,1,0
202.014027,2.02014E-07,0,1,0
202.020862,2.02021E-07,0,1,0
202.027695,2.02028E-07,0,1,0
202.034529,2.02035E-07,0,1,0
202.041362,2.02041E-07,0,1,0
202.048195,2.02048E-07,0,1,0
202.055027,2.02055E-07,0,1,0
202.061859,2.02062E-07,0,1,0
202.068691,2.02069E-07,0,1,0
202.075522,2.02076E-07,0,1,0
202.082353,2.02082E-07,0,1,0
202.089184,2.02089E-07,0,1,0
202.096014,2.02096E-07,0,1,0
202.102844,2.02103E-07,0,1,0
202.109673,2.0211E-07,0,1,0
202.116502,2.02117E-07,0,1,0
202.123331,2.02123E-07,0,1,0
202.130159,2.0213E-07,0,1,0
202.136987,2.02137E-07,0,1,0
202.143815,2.02144E-07,0,1,0
202.150642,2.02151E-07,0,1,0
202.157469,2.02157E-07,0,1,0
202.164295,2.02164E-07,0,1,0
202.171121,2.02171E-07,0,1,0
202.177947,2.02178E-07,0,1,0
202.184772,2.02185E-07,0,1,0
202.191597,2.02192E-07,0,1,0
202.198422,2.02198E-07,0,1,0
202.205246,2.02205E-07,0,1,0
202.21207,2.02212E-07,0,1,0
202.218893,2.02219E-07,0,1,0
202.225716,2.02226E-07,0,1,0
202.232539,2.02233E-07,0,1,0
202.239361,2.02239E-07,0,1,0
202.246183,2.02246E-07,0,1,0
202.253005,2.02253E-07,0,1,0
202.259826,2.0226E-07,0,1,0
202.266647,2.02267E-07,0,1,0
202.273467,2.02273E-07,0,1,0
202.280287,2.0228E-07,0,1,0
202.287107,2.02287E-07,0,1,0
202.293927,2.02294E-07,0,1,0
202.300745,2.02301E-07,0,1,0
202.307564,2.02308E-07,0,1,0
202.314382,2.02314E-07,0,1,0
202.3212,2.02321E-07,0,1,0
202.328018,2.02328E-07,0,1,0
202.334835,2.02335E-07,0,1,0
202.341651,2.02342E-07,0,1,0
202.348468,2.02348E-07,0,1,0
202.355284,2.02355E-07,0,1,0
202.362099,2.02362E-07,0,1,0
202.368914,2.02369E-07,0,1,0
202.375729,2.02376E-07,0,1,0
202.382544,2.02383E-07,0,1,0
202.389358,2.02389E-07,0,1,0
202.396171,2.02396E-07,0,1,0
202.402985,2.02403E-07,0,1,0
202.409798,2.0241E-07,0,1,0
202.41661,2.02417E-07,0,1,0
202.423422,2.02423E-07,0,1,0
202.430234,2.0243E-07,0,1,0
202.437046,2.02437E-07,0,1,0
202.443857,2.02444E-07,0,1,0
202.450667,2.02451E-07,0,1,0
202.457478,2.02457E-07,0,1,0
202.464288,2.02464E-07,0,1,0
202.471097,2.02471E-07,0,1,0
202.477906,2.02478E-07,0,1,0
202.484715,2.02485E-07,0,1,0
202.491524,2.02492E-07,0,1,0
202.498332,2.02498E-07,0,1,0
202.505139,2.02505E-07,0,1,0
202.511947,2.02512E-07,0,1,0
202.518754,2.02519E-07,0,1,0
202.52556,2.02526E-07,0,1,0
202.532367,2.02532E-07,0,1,0
202.539172,2.02539E-07,0,1,0
202.545978,2.02546E-07,0,1,0
202.552783,2.02553E-07,0,1,0
202.559587,2.0256E-07,0,1,0
202.566392,2.02566E-07,0,1,0
202.573196,2.02573E-07,0,1,0
202.579999,2.0258E-07,0,1,0
202.586802,2.02587E-07,0,1,0
202.593605,2.02594E-07,0,1,0
202.600408,2.026E-07,0,1,0
202.60721,2.02607E-07,0,1,0
202.614011,2.02614E-07,0,1,0
202.620813,2.02621E-07,0,1,0
202.627614,2.02628E-07,0,1,0
202.634414,2.02634E-07,0,1,0
202.641214,2.02641E-07,0,1,0
202.648014,2.02648E-07,0,1,0
202.654814,2.02655E-07,0,1,0
202.661613,2.02662E-07,0,1,0
202.668411,2.02668E-07,0,1,0
202.67521,2.02675E-07,0,1,0
202.682008,2.02682E-07,0,1,0
202.688805,2.02689E-07,0,1,0
202.695602,2.02696E-07,0,1,0
202.702399,2.02702E-07,0,1,0
202.709195,2.02709E-07,0,1,0
202.715991,2.02716E-07,0,1,0
202.722787,2.02723E-07,0,1,0
202.729582,2.0273E-07,0,1,0
202.736377,2.02736E-07,0,1,0
202.743172,2.02743E-07,0,1,0
