Measured unit,Wavelength (m),Sensitivity,Additional multiplier,Additional additive
462,6.55662E-07,0.000438484,,
463,6.55671E-07,0.000437762,,
464,6.5568E-07,0.000437233,,
465,6.5569E-07,0.000436209,,
466,6.55699E-07,0.000435379,,
467,6.55709E-07,0.000435206,,
468,6.55718E-07,0.000435107,,
469,6.55728E-07,0.000435287,,
470,6.55737E-07,0.000435294,,
471,6.55746E-07,0.000436107,,
472,6.55756E-07,0.000436935,,
473,6.55765E-07,0.00043719,,
474,6.55775E-07,0.000437575,,
475,6.55784E-07,0.000437977,,
476,6.55794E-07,0.000437869,,
477,6.55803E-07,0.00043783,,
478,6.55812E-07,0.000437241,,
479,6.55822E-07,0.000436229,,
480,6.55831E-07,0.000435355,,
481,6.55841E-07,0.000434948,,
482,6.5585E-07,0.000434993,,
483,6.5586E-07,0.000435542,,
484,6.55869E-07,0.000436061,,
485,6.55879E-07,0.000436488,,
486,6.55888E-07,0.000436144,,
487,6.55897E-07,0.000436497,,
488,6.55907E-07,0.000437027,,
489,6.55916E-07,0.000437173,,
490,6.55926E-07,0.000437102,,
491,6.55935E-07,0.000437231,,
492,6.55945E-07,0.000436726,,
493,6.55954E-07,0.000436182,,
494,6.55963E-07,0.000435664,,
495,6.55973E-07,0.000435989,,
496,6.55982E-07,0.00043615,,
497,6.55992E-07,0.000437418,,
498,6.56001E-07,0.000438005,,
499,6.56011E-07,0.000438573,,
500,6.5602E-07,0.000438524,,
501,6.56029E-07,0.000439182,,
502,6.56039E-07,0.00044039,,
503,6.56048E-07,0.000441542,,
504,6.56058E-07,0.000441743,,
505,6.56067E-07,0.000441923,,
506,6.56077E-07,0.000441444,,
507,6.56086E-07,0.000441689,,
508,6.56096E-07,0.000441717,,
509,6.56105E-07,0.00044185,,
510,6.56114E-07,0.000441913,,
511,6.56124E-07,0.000441542,,
512,6.56133E-07,0.000441267,,
513,6.56143E-07,0.000441736,,
514,6.56152E-07,0.000442112,,
515,6.56162E-07,0.000442444,,
516,6.56171E-07,0.000442343,,
517,6.5618E-07,0.000442558,,
518,6.5619E-07,0.000442737,,
519,6.56199E-07,0.000442188,,
520,6.56209E-07,0.000441663,,
521,6.56218E-07,0.000441432,,
522,6.56228E-07,0.000441475,,
523,6.56237E-07,0.00044167,,
524,6.56246E-07,0.000441815,,
525,6.56256E-07,0.000442214,,
526,6.56265E-07,0.000441834,,
527,6.56275E-07,0.000441581,,
528,6.56284E-07,0.000441671,,
529,6.56294E-07,0.000441797,,
530,6.56303E-07,0.000441446,,
531,6.56313E-07,0.000440816,,
532,6.56322E-07,0.000439846,,
533,6.56331E-07,0.000438617,,
534,6.56341E-07,0.000437204,,
535,6.5635E-07,0.000436268,,
536,6.5636E-07,0.00043621,,
537,6.56369E-07,0.000436092,,
538,6.56379E-07,0.000435802,,
539,6.56388E-07,0.000435778,,
540,6.56397E-07,0.000435669,,
541,6.56407E-07,0.000435826,,
542,6.56416E-07,0.000436189,,
543,6.56426E-07,0.000436645,,
544,6.56435E-07,0.000437078,,
545,6.56445E-07,0.000436197,,
546,6.56454E-07,0.000435592,,
547,6.56463E-07,0.000435061,,
548,6.56473E-07,0.000434632,,
549,6.56482E-07,0.000434323,,
550,6.56492E-07,0.000434486,,
551,6.56501E-07,0.000434142,,
552,6.56511E-07,0.000433646,,
553,6.5652E-07,0.00043357,,
554,6.5653E-07,0.000434515,,
555,6.56539E-07,0.000435213,,
556,6.56548E-07,0.000435908,,
557,6.56558E-07,0.000436367,,
558,6.56567E-07,0.000436349,,
559,6.56577E-07,0.000435822,,
560,6.56586E-07,0.000435892,,
